20	colors
#080A0D #003776 #674B47 #6F4C2F #E72F1D #6C5BB1 #2D9E59 #F24574 #8C9099 #F97429 #5EBDDB #C19E86 #AFC33C #94B7C9 #F4C032 #FFC0CB #D9DFE5 #F8F81C #FFF5E0 #E2DEDB
src dst flush
#8C9099 #003776 27
#8C9099 #674B47 28
#8C9099 #6F4C2F 23
#8C9099 #E72F1D 31
#8C9099 #6C5BB1 23
#8C9099 #2D9E59 24
#8C9099 #F24574 29
#8C9099 #F97429 27
#8C9099 #5EBDDB 26
#8C9099 #C19E86 30
#8C9099 #AFC33C 26
#8C9099 #94B7C9 25
#8C9099 #F4C032 28
#8C9099 #FFC0CB 40
#8C9099 #D9DFE5 40
#8C9099 #F8F81C 27
#8C9099 #FFF5E0 36
#8C9099 #E2DEDB 69
#F97429 #080A0D 33
#F97429 #003776 29
#F97429 #674B47 27
#F97429 #6F4C2F 24
#F97429 #E72F1D 22
#F97429 #6C5BB1 32
#F97429 #2D9E59 31
#F97429 #F24574 40
#F97429 #8C9099 69
#F97429 #5EBDDB 39
#F97429 #C19E86 37
#F97429 #AFC33C 28
#F97429 #94B7C9 51
#F97429 #F4C032 31
#F97429 #FFC0CB 40
#F97429 #D9DFE5 100
#F97429 #F8F81C 38
#F97429 #FFF5E0 40
#F97429 #E2DEDB 111
#5EBDDB #080A0D 34
#5EBDDB #003776 27
#5EBDDB #674B47 43
#5EBDDB #6F4C2F 29
#5EBDDB #E72F1D 44
#5EBDDB #6C5BB1 26
#5EBDDB #2D9E59 27
#5EBDDB #F24574 49
#5EBDDB #8C9099 85
#5EBDDB #F97429 48
#5EBDDB #C19E86 59
#5EBDDB #AFC33C 52
#5EBDDB #94B7C9 40
#5EBDDB #F4C032 44
#5EBDDB #FFC0CB 55
#5EBDDB #D9DFE5 65
#5EBDDB #F8F81C 65
#5EBDDB #FFF5E0 57
#5EBDDB #E2DEDB 109
#C19E86 #080A0D 49
#C19E86 #003776 31
#C19E86 #674B47 29
#C19E86 #6F4C2F 23
#C19E86 #E72F1D 31
#C19E86 #6C5BB1 23
#C19E86 #2D9E59 23
#C19E86 #F24574 31
#C19E86 #8C9099 49
#C19E86 #F97429 23
#C19E86 #5EBDDB 31
#C19E86 #AFC33C 23
#C19E86 #94B7C9 23
#C19E86 #F4C032 23
#C19E86 #FFC0CB 27
#C19E86 #D9DFE5 35
#C19E86 #F8F81C 39
#C19E86 #FFF5E0 30
#C19E86 #E2DEDB 78
#AFC33C #080A0D 58
#AFC33C #003776 37
#AFC33C #674B47 34
#AFC33C #6F4C2F 36
#AFC33C #E72F1D 32
#AFC33C #6C5BB1 27
#AFC33C #2D9E59 29
#AFC33C #F24574 48
#AFC33C #8C9099 90
#AFC33C #F97429 33
#AFC33C #5EBDDB 69
#AFC33C #C19E86 56
#AFC33C #94B7C9 70
#AFC33C #F4C032 44
#AFC33C #FFC0CB 55
#AFC33C #D9DFE5 69
#AFC33C #F8F81C 34
#AFC33C #FFF5E0 49
#AFC33C #E2DEDB 133
#94B7C9 #080A0D 26
#94B7C9 #003776 27
#94B7C9 #674B47 31
#94B7C9 #6F4C2F 27
#94B7C9 #E72F1D 23
#94B7C9 #6C5BB1 27
#94B7C9 #2D9E59 26
#94B7C9 #F24574 33
#94B7C9 #8C9099 38
#94B7C9 #F97429 27
#94B7C9 #5EBDDB 27
#94B7C9 #C19E86 36
#94B7C9 #AFC33C 31
#94B7C9 #F4C032 27
#94B7C9 #FFC0CB 33
#94B7C9 #D9DFE5 36
#94B7C9 #F8F81C 31
#94B7C9 #FFF5E0 35
#94B7C9 #E2DEDB 72
#F4C032 #080A0D 28
#F4C032 #003776 25
#F4C032 #674B47 34
#F4C032 #6F4C2F 30
#F4C032 #E72F1D 33
#F4C032 #6C5BB1 30
#F4C032 #2D9E59 27
#F4C032 #F24574 37
#F4C032 #8C9099 49
#F4C032 #F97429 23
#F4C032 #5EBDDB 41
#F4C032 #C19E86 43
#F4C032 #AFC33C 26
#F4C032 #94B7C9 50
#F4C032 #FFC0CB 45
#F4C032 #D9DFE5 83
#F4C032 #F8F81C 26
#F4C032 #FFF5E0 52
#F4C032 #E2DEDB 110
#FFC0CB #080A0D 44
#FFC0CB #003776 27
#FFC0CB #674B47 48
#FFC0CB #6F4C2F 35
#FFC0CB #E72F1D 34
#FFC0CB #6C5BB1 28
#FFC0CB #2D9E59 29
#FFC0CB #F24574 32
#FFC0CB #8C9099 54
#FFC0CB #F97429 32
#FFC0CB #5EBDDB 42
#FFC0CB #C19E86 42
#FFC0CB #AFC33C 31
#FFC0CB #94B7C9 28
#FFC0CB #F4C032 30
#FFC0CB #D9DFE5 41
#FFC0CB #F8F81C 34
#FFC0CB #FFF5E0 46
#FFC0CB #E2DEDB 90
#D9DFE5 #080A0D 69
#D9DFE5 #003776 52
#D9DFE5 #674B47 70
#D9DFE5 #6F4C2F 60
#D9DFE5 #E72F1D 60
#D9DFE5 #6C5BB1 65
#D9DFE5 #2D9E59 59
#D9DFE5 #F24574 67
#D9DFE5 #8C9099 51
#D9DFE5 #F97429 60
#D9DFE5 #5EBDDB 60
#D9DFE5 #C19E86 53
#D9DFE5 #AFC33C 46
#D9DFE5 #94B7C9 44
#D9DFE5 #F4C032 43
#D9DFE5 #FFC0CB 49
#D9DFE5 #F8F81C 40
#D9DFE5 #FFF5E0 39
#D9DFE5 #E2DEDB 56
#F8F81C #080A0D 37
#F8F81C #003776 26
#F8F81C #674B47 40
#F8F81C #6F4C2F 34
#F8F81C #E72F1D 32
#F8F81C #6C5BB1 37
#F8F81C #2D9E59 31
#F8F81C #F24574 44
#F8F81C #8C9099 69
#F8F81C #F97429 32
#F8F81C #5EBDDB 51
#F8F81C #C19E86 49
#F8F81C #AFC33C 23
#F8F81C #94B7C9 53
#F8F81C #F4C032 25
#F8F81C #FFC0CB 54
#F8F81C #D9DFE5 63
#F8F81C #FFF5E0 52
#F8F81C #E2DEDB 103
#FFF5E0 #080A0D 45
#FFF5E0 #003776 30
#FFF5E0 #674B47 41
#FFF5E0 #6F4C2F 35
#FFF5E0 #E72F1D 35
#FFF5E0 #6C5BB1 31
#FFF5E0 #2D9E59 27
#FFF5E0 #F24574 31
#FFF5E0 #8C9099 25
#FFF5E0 #F97429 29
#FFF5E0 #5EBDDB 31
#FFF5E0 #C19E86 35
#FFF5E0 #AFC33C 31
#FFF5E0 #94B7C9 36
#FFF5E0 #F4C032 24
#FFF5E0 #FFC0CB 31
#FFF5E0 #D9DFE5 30
#FFF5E0 #F8F81C 26
#FFF5E0 #E2DEDB 65
#E2DEDB #080A0D 27
#E2DEDB #003776 27
#E2DEDB #674B47 34
#E2DEDB #6F4C2F 29
#E2DEDB #E72F1D 27
#E2DEDB #6C5BB1 24
#E2DEDB #2D9E59 27
#E2DEDB #F24574 27
#E2DEDB #8C9099 23
#E2DEDB #F97429 32
#E2DEDB #5EBDDB 31
#E2DEDB #C19E86 25
#E2DEDB #AFC33C 28
#E2DEDB #94B7C9 23
#E2DEDB #F4C032 23
#E2DEDB #FFC0CB 27
#E2DEDB #D9DFE5 21
#E2DEDB #F8F81C 31
#E2DEDB #FFF5E0 22
