20	colors
#080A0D #003776 #674B47 #6F4C2F #E72F1D #6C5BB1 #2D9E59 #F24574 #8C9099 #F97429 #5EBDDB #C19E86 #AFC33C #94B7C9 #F4C032 #FFC0CB #D9DFE5 #F8F81C #FFF5E0 #E2DEDB
src dst flush
#5EBDDB #FFF5E0 230
#5EBDDB #E2DEDB 332
#C19E86 #080A0D 79
#C19E86 #003776 90
#C19E86 #674B47 87
#C19E86 #6F4C2F 98
#C19E86 #E72F1D 80
#C19E86 #6C5BB1 98
#C19E86 #2D9E59 94
#C19E86 #F24574 94
#C19E86 #8C9099 157
#C19E86 #F97429 90
#C19E86 #5EBDDB 106
#C19E86 #AFC33C 86
#C19E86 #94B7C9 143
#C19E86 #F4C032 94
#C19E86 #FFC0CB 110
#C19E86 #D9DFE5 178
#C19E86 #F8F81C 102
#C19E86 #FFF5E0 109
#C19E86 #E2DEDB 205
#AFC33C #080A0D 99
#AFC33C #003776 123
#AFC33C #674B47 127
#AFC33C #6F4C2F 144
#AFC33C #E72F1D 98
#AFC33C #6C5BB1 156
#AFC33C #2D9E59 106
#AFC33C #F24574 156
#AFC33C #8C9099 288
#AFC33C #F97429 103
#AFC33C #5EBDDB 208
#AFC33C #C19E86 160
#AFC33C #94B7C9 271
#AFC33C #F4C032 129
#AFC33C #FFC0CB 229
#AFC33C #D9DFE5 370
#AFC33C #F8F81C 117
#AFC33C #FFF5E0 236
#AFC33C #E2DEDB 438
#94B7C9 #080A0D 97
#94B7C9 #003776 91
#94B7C9 #674B47 120
#94B7C9 #6F4C2F 124
#94B7C9 #E72F1D 98
#94B7C9 #6C5BB1 81
#94B7C9 #2D9E59 85
#94B7C9 #F24574 106
#94B7C9 #8C9099 149
#94B7C9 #F97429 97
#94B7C9 #5EBDDB 77
#94B7C9 #C19E86 112
#94B7C9 #AFC33C 85
#94B7C9 #F4C032 90
#94B7C9 #FFC0CB 105
#94B7C9 #D9DFE5 131
#94B7C9 #F8F81C 96
#94B7C9 #FFF5E0 102
#94B7C9 #E2DEDB 172
#F4C032 #080A0D 83
#F4C032 #003776 90
#F4C032 #674B47 101
#F4C032 #6F4C2F 110
#F4C032 #E72F1D 77
#F4C032 #6C5BB1 135
#F4C032 #2D9E59 92
#F4C032 #F24574 127
#F4C032 #8C9099 212
#F4C032 #F97429 85
#F4C032 #5EBDDB 145
#F4C032 #C19E86 131
#F4C032 #AFC33C 101
#F4C032 #94B7C9 190
#F4C032 #FFC0CB 158
#F4C032 #D9DFE5 256
#F4C032 #F8F81C 85
#F4C032 #FFF5E0 163
#F4C032 #E2DEDB 297
#FFC0CB #080A0D 127
#FFC0CB #003776 117
#FFC0CB #674B47 135
#FFC0CB #6F4C2F 141
#FFC0CB #E72F1D 112
#FFC0CB #6C5BB1 107
#FFC0CB #2D9E59 114
#FFC0CB #F24574 105
#FFC0CB #8C9099 190
#FFC0CB #F97429 111
#FFC0CB #5EBDDB 110
#FFC0CB #C19E86 140
#FFC0CB #AFC33C 123
#FFC0CB #94B7C9 123
#FFC0CB #F4C032 107
#FFC0CB #D9DFE5 201
#FFC0CB #F8F81C 122
#FFC0CB #FFF5E0 142
#FFC0CB #E2DEDB 196
#D9DFE5 #080A0D 209
#D9DFE5 #003776 197
#D9DFE5 #674B47 238
#D9DFE5 #6F4C2F 256
#D9DFE5 #E72F1D 211
#D9DFE5 #6C5BB1 210
#D9DFE5 #2D9E59 187
#D9DFE5 #F24574 209
#D9DFE5 #8C9099 202
#D9DFE5 #F97429 219
#D9DFE5 #5EBDDB 208
#D9DFE5 #C19E86 206
#D9DFE5 #AFC33C 210
#D9DFE5 #94B7C9 140
#D9DFE5 #F4C032 152
#D9DFE5 #FFC0CB 160
#D9DFE5 #F8F81C 171
#D9DFE5 #FFF5E0 140
#D9DFE5 #E2DEDB 152
#F8F81C #080A0D 94
#F8F81C #003776 119
#F8F81C #674B47 114
#F8F81C #6F4C2F 131
#F8F81C #E72F1D 96
#F8F81C #6C5BB1 144
#F8F81C #2D9E59 101
#F8F81C #F24574 144
#F8F81C #8C9099 271
#F8F81C #F97429 106
#F8F81C #5EBDDB 213
#F8F81C #C19E86 164
#F8F81C #AFC33C 94
#F8F81C #94B7C9 226
#F8F81C #F4C032 90
#F8F81C #FFC0CB 189
#F8F81C #D9DFE5 325
#F8F81C #FFF5E0 254
#F8F81C #E2DEDB 392
#FFF5E0 #080A0D 131
#FFF5E0 #003776 112
#FFF5E0 #674B47 115
#FFF5E0 #6F4C2F 120
#FFF5E0 #E72F1D 116
#FFF5E0 #6C5BB1 127
#FFF5E0 #2D9E59 108
#FFF5E0 #F24574 98
#FFF5E0 #8C9099 101
#FFF5E0 #F97429 94
#FFF5E0 #5EBDDB 124
#FFF5E0 #C19E86 96
#FFF5E0 #AFC33C 103
#FFF5E0 #94B7C9 111
#FFF5E0 #F4C032 92
#FFF5E0 #FFC0CB 111
#FFF5E0 #D9DFE5 152
#FFF5E0 #F8F81C 106
#FFF5E0 #E2DEDB 154
#E2DEDB #080A0D 77
#E2DEDB #003776 77
#E2DEDB #674B47 75
#E2DEDB #6F4C2F 96
#E2DEDB #E72F1D 71
#E2DEDB #6C5BB1 80
#E2DEDB #2D9E59 69
#E2DEDB #F24574 73
#E2DEDB #8C9099 67
#E2DEDB #F97429 64
#E2DEDB #5EBDDB 70
#E2DEDB #C19E86 84
#E2DEDB #AFC33C 81
#E2DEDB #94B7C9 82
#E2DEDB #F4C032 64
#E2DEDB #FFC0CB 65
#E2DEDB #D9DFE5 60
#E2DEDB #F8F81C 65
#E2DEDB #FFF5E0 66
